Rk,team,year,Date,Time,LTime,away,Opp,week,G#,Day,Result,OT,Att,Yds,Y/A,TD
708,BUF,2019,2019-10-20,1:00,1:00,,MIA,7,6,Sun,W 31-21,,30,109,3.63,2
709,CAR,2017,2017-11-26,1:00,1:00,@,NYJ,12,11,Sun,W 35-27,,26,109,4.19,0
710,CHI,2019,2019-11-24,1:00,12:00,,NYG,12,11,Sun,W 19-14,,21,109,5.19,0
711,JAC,2018,2018-12-16,1:00,1:00,,WAS,15,14,Sun,L 13-16,,33,109,3.30,0
712,MIA,2018,2018-09-23,1:00,1:00,,OAK,3,3,Sun,W 28-20,,32,109,3.41,1
713,MIA,2019,2019-11-10,4:05,4:05,@,IND,10,9,Sun,W 16-12,,29,109,3.76,0
714,NE,2017,2017-11-19,4:25,3:25,@,OAK,11,10,Sun,W 33-8,,21,109,5.19,0
715,NE,2019,2019-11-24,4:25,4:25,,DAL,12,11,Sun,W 13-9,,26,109,4.19,0
716,TEN,2017,2017-09-10,1:00,12:00,,OAK,1,1,Sun,L 16-26,,29,109,3.76,0
717,TEN,2019,2019-10-06,1:00,12:00,,BUF,5,5,Sun,L 7-14,,27,109,4.04,0
718,TEN,2019,2019-12-29,4:25,3:25,@,HOU,17,16,Sun,W 35-14,,25,109,4.36,2
719,PHI,2017,2017-12-10,4:25,1:25,@,LA,14,13,Sun,W 43-35,,17,109,6.41,2
720,LAC,2017,2017-10-15,4:25,1:25,@,OAK,6,6,Sun,W 17-16,,22,109,4.95,1
721,SF,2019,2019-10-13,4:05,1:05,@,LA,6,5,Sun,W 20-7,,22,109,4.95,1
722,TB,2018,2018-12-30,1:00,1:00,,ATL,17,16,Sun,L 32-34,,30,109,3.63,1
723,TB,2019,2019-11-17,1:00,1:00,,NO,11,10,Sun,L 17-34,,28,109,3.89,0
724,CHI,2017,2017-10-22,1:00,12:00,,CAR,7,7,Sun,W 17-3,,30,108,3.60,0
725,CHI,2018,2018-10-21,1:00,12:00,,NE,7,6,Sun,L 31-38,,27,108,4.00,0
726,ARI,2019,2019-10-06,1:00,1:00,@,CIN,5,5,Sun,W 26-23,,23,108,4.70,0
727,JAC,2017,2017-11-26,4:25,2:25,@,ARI,12,11,Sun,L 24-27,,31,108,3.48,0
728,KC,2019,2019-12-29,1:00,12:00,,LAC,17,16,Sun,W 31-21,,25,108,4.32,1
729,MIN,2019,2019-10-13,1:00,3:00,,PHI,6,6,Sun,W 38-20,,22,108,4.91,0
730,NO,2019,2019-09-22,4:25,1:25,@,SEA,3,3,Sun,W 33-27,,26,108,4.15,2
731,NYG,2017,2017-12-17,1:00,1:00,,PHI,15,14,Sun,L 29-34,,27,108,4.00,0
732,NYG,2018,2018-10-11,8:20,8:20,,PHI,6,6,Thu,L 13-34,,31,108,3.48,1
733,BAL,2017,2017-10-08,4:05,1:05,@,OAK,5,5,Sun,W 30-17,,25,108,4.32,1
